"Org_Name","Org_Cat_Description","Catorg_ID","Typorg_ID","Org_ID","A_Infotype","X_index","X_parent_index","Need","Value"
"WFP","",15,152,1522,21,1,-1,"CC1_info_needs_EMDECLA","0"
"THW Germany","",18,183,1834,21,9,-1,"CC1_info_needs_EMDECLA","1"
"WFP","",15,152,1522,21,10,-1,"CC1_info_needs_EMDECLA","0"
"OCHA","",15,152,1521,21,15,-1,"CC1_info_needs_EMDECLA","1"
"European Commission Joint Research Centre","",18,182,,22,16,-1,"CC1_info_needs_EMDECLA",
"OCHA","",15,,,21,17,-1,"CC1_info_needs_EMDECLA","1"
"WIPO security","UN agency",15,152,1522,23,18,-1,"CC1_info_needs_EMDECLA",
"Saudi Arabian Civil defense","",11,112,1121,23,19,-1,"CC1_info_needs_EMDECLA",
"Belgian First Aid and Support Team (B-FAST)","",18,183,1832,21,20,-1,"CC1_info_needs_EMDECLA","1"
"Not Defined","Consultant - Disaster Management | Humanitarian Coordination",13,131,1312,23,21,-1,"CC1_info_needs_EMDECLA",
"Netherlands Red Cross","",16,162,1621,21,22,-1,"CC1_info_needs_EMDECLA","0"
"UNDP","",15,152,1522,23,23,-1,"CC1_info_needs_EMDECLA",
"Deutsche Post DHL Group","",12,121,,23,24,-1,"CC1_info_needs_EMDECLA",
"Logistics Cluster/WFP","",15,152,1522,23,25,-1,"CC1_info_needs_EMDECLA",
"Insecurity Insight","We are neither advocacy nor operational. We provide information services to agencies.",16,,,23,26,-1,"CC1_info_needs_EMDECLA",
"Ericsson Response","",12,121,,23,27,-1,"CC1_info_needs_EMDECLA",
"Not Defined","",15,152,1522,22,28,-1,"CC1_info_needs_EMDECLA",
"FAO","",15,152,1522,23,29,-1,"CC1_info_needs_EMDECLA",
"UNDAC","",15,152,1522,22,30,-1,"CC1_info_needs_EMDECLA",
"Google","",12,121,,23,31,-1,"CC1_info_needs_EMDECLA",
"Not Defined","",15,152,1522,23,32,-1,"CC1_info_needs_EMDECLA",
"Not Defined","",12,121,,21,33,-1,"CC1_info_needs_EMDECLA","0"
"Not Defined","",11,112,1121,21,34,-1,"CC1_info_needs_EMDECLA","1"
"OCHA","",15,152,1521,,35,-1,"CC1_info_needs_EMDECLA",
"Independent consultant","I work sometimes for OCHA, sometimes for NGOs in a variety of roles including IM, assessmen, coordination and reporting",13,131,,22,36,-1,"CC1_info_needs_EMDECLA",
"THW","German Agency for Technical Relief",18,183,1831,23,37,-1,"CC1_info_needs_EMDECLA",
"CANADEM","",16,162,1621,21,38,-1,"CC1_info_needs_EMDECLA","1"
"Humanitarian OpenStreetMap Team","",16,162,1623,23,39,-1,"CC1_info_needs_EMDECLA",
"Americas Support Team (Section Leader of team operational)","",11,112,1121,21,40,-1,"CC1_info_needs_EMDECLA","1"
"OCHA FCSS","",15,152,1521,23,41,-1,"CC1_info_needs_EMDECLA",
"UNOCHA","",15,152,1521,23,42,-1,"CC1_info_needs_EMDECLA",
"NATIONAL EMERGENCY MANAGEMENT AGENCY NIGERIA","",18,183,1831,23,43,-1,"CC1_info_needs_EMDECLA",
"French civil protection directorate","",18,183,1831,23,44,-1,"CC1_info_needs_EMDECLA",
"@fire - International Disaster Response","",16,162,1621,23,45,-1,"CC1_info_needs_EMDECLA",
"OCHA","",15,152,1521,23,46,-1,"CC1_info_needs_EMDECLA",
"Cisco Tactical Operations (TacOps)","",12,121,,23,47,-1,"CC1_info_needs_EMDECLA",
"OCHA","",15,152,1521,23,48,-1,"CC1_info_needs_EMDECLA",
"FAO","",15,152,1522,23,49,-1,"CC1_info_needs_EMDECLA",
"NATIONAL DISASTER OPERATION CENTER- KENYA","",18,183,1831,23,50,-1,"CC1_info_needs_EMDECLA",
"Rescue South Africa","",16,162,1621,23,51,-1,"CC1_info_needs_EMDECLA",
"Estonian Rescue Board","governmental organization",18,183,1831,21,52,-1,"CC1_info_needs_EMDECLA","1"
"U.S. Department of Defense","",14,143,1433,23,53,-1,"CC1_info_needs_EMDECLA",
"Qatar Computing Research Institute, Qatar Foundation","Research Institute with Hamad Bin Khalifa University",16,162,1622,23,54,-1,"CC1_info_needs_EMDECLA",
"POMPIERS DE L'URGENCE INTERNATIONALE/INTERNATIONALE EMERGENCY FIREFIGHTERS - FRANCE","",16,162,1622,21,55,-1,"CC1_info_needs_EMDECLA","1"
"UNOCHA","",15,152,1521,23,56,-1,"CC1_info_needs_EMDECLA",
"ocha","",15,152,1521,21,57,-1,"CC1_info_needs_EMDECLA","0"
"OCHA","",15,152,1521,23,58,-1,"CC1_info_needs_EMDECLA",
"Defensa Civil - WUSAR","",18,182,1821,23,59,-1,"CC1_info_needs_EMDECLA",
